This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  6.8165515e-03 5.96e-01 1.62e+04   0.3 3.43e+01    -  7.39e-01 1.00e+00f  1
  91  6.8445209e-03 6.23e-01 2.91e+04   0.3 2.44e+01    -  1.00e+00 7.53e-01h  1
  92  6.7566541e-03 1.59e-01 4.09e+04   0.3 1.46e+01    -  8.76e-01 6.86e-01H  1
  93  6.6467822e-03 1.36e-01 3.60e+04   0.3 1.77e+01    -  1.00e+00 8.21e-01H  1
  94  6.6537583e-03 1.03e-01 8.74e+04   0.3 2.89e+00    -  1.00e+00 2.50e-01f  3
  95  6.6511890e-03 6.70e-03 5.60e+03   0.3 2.16e+00    -  1.00e+00 1.00e+00h  1
  96  6.6339691e-03 1.35e-03 9.15e+02   0.3 6.53e-01    -  1.00e+00 1.00e+00H  1
  97  6.6514782e-03 1.34e-03 8.13e+04  -0.4 1.13e+00    -  1.00e+00 7.36e-01H  1
  98  6.6515681e-03 1.34e-03 1.68e+05  -0.5 1.76e+01    -  1.00e+00 1.06e-03h 10
  99  6.6516432e-03 1.34e-03 1.81e+05  -0.6 1.53e+01    -  1.00e+00 1.18e-03h 10
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  6.6517182e-03 1.34e-03 1.81e+05  -0.6 1.33e+01    -  1.00e+00 1.34e-03h 10
 101  6.6691997e-03 1.33e-03 7.30e+02  -0.6 7.07e-01    -  1.00e+00 1.00e+00H  1
 102  6.6924229e-03 5.23e-01 1.54e+05   0.1 5.18e+01    -  1.00e+00 1.43e-01f  1
 103  6.6584934e-03 6.92e-01 3.53e+04  -0.0 1.40e+01    -  9.10e-01 7.48e-01f  1
 104  6.6681948e-03 3.53e-01 3.24e+04  -0.0 1.47e+01    -  7.52e-01 5.80e-01f  1
 105  6.6818716e-03 1.57e-02 4.08e+04  -0.0 1.45e+00    -  6.03e-01 1.00e+00f  1
 106  6.6739558e-03 2.34e-03 8.66e+03  -0.0 1.09e+00    -  9.44e-01 8.64e-01h  1
 107  6.6695726e-03 2.73e-03 1.61e+03  -0.0 1.34e+00    -  1.00e+00 1.00e+00f  1
 108  6.6780816e-03 2.70e-03 8.76e+03  -0.7 9.41e-01    -  9.10e-01 8.66e-01h  1
 109  6.6591524e-03 3.24e-03 1.20e+05  -0.7 8.84e+00    -  8.30e-01 4.63e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  6.6567977e-03 5.25e-03 1.69e+05  -0.7 5.02e+00    -  1.00e+00 1.75e-01h  3
 111  6.6738511e-03 3.24e-03 4.65e+05  -0.7 4.40e+00    -  2.00e-01 9.57e-01H  1
 112  6.6746246e-03 2.79e-03 2.12e+04  -0.7 1.84e+00    -  7.88e-01 1.86e-01f  3
 113  6.6748713e-03 3.46e-03 2.83e+04  -0.7 1.61e+00    -  3.85e-01 3.07e-01f  2
 114  6.6748216e-03 4.04e-03 1.70e+05  -0.7 1.63e+00    -  1.00e+00 3.96e-01H  1
 115  6.6757212e-03 3.75e-03 1.51e+05  -0.7 1.30e+00    -  1.00e+00 2.50e-01f  3
 116  6.6746475e-03 1.33e-03 5.89e+04  -0.7 1.24e+00    -  8.71e-01 1.00e+00H  1
 117  6.6754429e-03 1.33e-03 1.52e+05  -0.7 1.03e+00    -  1.00e+00 2.50e-01h  3
 118  6.6764935e-03 1.33e-03 1.34e+05  -0.7 9.48e-01    -  6.46e-01 2.50e-01h  3
 119  6.6768569e-03 1.33e-03 1.77e+05  -0.7 1.02e+00    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  6.6772469e-03 1.33e-03 1.74e+05  -0.7 9.74e-01    -  8.59e-01 1.25e-01h  4
 121  6.6774297e-03 1.33e-03 1.90e+05  -0.7 1.03e+00    -  1.00e+00 6.25e-02h  5
 122  6.6776177e-03 1.33e-03 1.90e+05  -0.7 1.00e+00    -  1.00e+00 6.25e-02h  5
 123  6.6778005e-03 1.33e-03 1.90e+05  -0.7 1.04e+00    -  1.00e+00 6.25e-02h  5
 124  6.6779869e-03 1.33e-03 1.90e+05  -0.7 1.02e+00    -  1.00e+00 6.25e-02h  5
 125  6.6781692e-03 1.33e-03 1.90e+05  -0.7 1.04e+00    -  1.00e+00 6.25e-02h  5
 126  6.6783530e-03 1.33e-03 1.90e+05  -0.7 1.03e+00    -  1.00e+00 6.25e-02h  5
 127  6.6815005e-03 1.46e-02 1.90e+03  -0.7 1.05e+00    -  1.00e+00 1.00e+00w  1
 128  6.6847368e-03 1.48e-02 2.03e+03  -0.7 1.11e+00    -  1.00e+00 1.00e+00w  1
 129  6.6858755e-03 1.55e-02 2.25e+03  -0.7 1.17e+00    -  1.00e+00 1.00e+00w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  6.6785336e-03 1.33e-03 1.90e+05  -0.7 1.35e+00    -  1.00e+00 6.25e-02h  4
 131  6.6787140e-03 1.33e-03 1.90e+05  -0.7 1.04e+00    -  1.00e+00 6.25e-02h  5
 132  6.6788026e-03 1.33e-03 1.96e+05  -0.7 1.05e+00    -  1.00e+00 3.12e-02h  6
 133  6.6788907e-03 1.33e-03 1.96e+05  -0.7 1.05e+00    -  1.00e+00 3.12e-02h  6
 134  6.6789782e-03 1.33e-03 1.96e+05  -0.7 1.05e+00    -  1.00e+00 3.12e-02h  6
 135  6.6790653e-03 1.33e-03 1.96e+05  -0.7 1.05e+00    -  1.00e+00 3.12e-02h  6
 136  6.6791517e-03 1.33e-03 1.96e+05  -0.7 1.06e+00    -  1.00e+00 3.12e-02h  6
 137  6.6792375e-03 1.33e-03 1.96e+05  -0.7 1.06e+00    -  1.00e+00 3.12e-02h  6
 138  6.6793226e-03 1.33e-03 1.96e+05  -0.7 1.06e+00    -  1.00e+00 3.12e-02h  6
 139  6.6794071e-03 1.33e-03 1.96e+05  -0.7 1.06e+00    -  1.00e+00 3.12e-02h  6
